id,beta,roi,model,contrast
RV001,-0.994376853113906,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV004,6.22964020621677,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV005,-4.87114127817236,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV008,-3.95903070228558,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV010,-0.26510334885811,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV011,0.757940954451709,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV013,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV016,7.308952701364,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV019,-1.31865400418376,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV020,0.652779877794081,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV021,2.55743697411905,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV022,0.566020894289977,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV024,2.06213891526632,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV025,0.751934375451959,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV026,-4.66074572622614,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV027,-0.0395361327323386,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV030,-2.20649488235702,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV032,-0.338871346204092,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV038,1.0830593767797,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV043,-2.40489063622611,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV047,-2.58592054804632,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV048,-0.217311538575189,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV053,-1.02235734118357,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV055,-3.07687384384777,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV056,-0.250970654558463,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV059,0.272407628430993,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV062,1.39952897389301,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV063,0.782088428605021,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV065,-2.24026041109848,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV066,1.16602863304443,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV071,-3.31144827087099,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV072,-0.325030861211721,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV073,3.76901521819467,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV080,0.71197436760101,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV081,4.67493691056004,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV082,0.71335148394901,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV083,-0.0655800028105885,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV085,-2.22400676275202,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV086,1.12693321102879,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV087,-9.873812487799,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV089,-0.53668060345873,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV094,1.1620575199011,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV095,-1.28467272372244,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV100,2.90671946770615,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV101,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV102,0.605037622504645,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV103,0.0572676783055067,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV104,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV105,1.16439235223179,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV106,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV107,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV108,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV112,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV113,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV114,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV116,1.09709300656426,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV118,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV1205,0.51288864336287,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV1207,-4.53585345688357,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV121,1.05273151669473,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV122,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV1223,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
RV1232,0,left_amygdala_indiv_roi,glm-09-Sep-2018-computational-smoothed4mm-hybridalphav,alpha
